iter	Passed	Remaining
0	173	34584
1	183	18120
2	195	12829
3	210	10330
4	224	8760
5	236	7660
6	265	7314
7	301	7240
8	329	6983
9	362	6889
10	406	6992
11	428	6713
12	443	6374
13	464	6169
14	502	6197
15	528	6076
16	548	5906
17	566	5731
18	590	5620
19	619	5575
20	638	5446
21	657	5321
22	677	5214
23	700	5139
24	720	5045
25	738	4942
26	770	4935
27	990	6083
28	1033	6096
29	1065	6036
30	1078	5877
31	1089	5719
32	1102	5578
33	1114	5441
34	1130	5327
35	1143	5207
36	1155	5092
37	1169	4985
38	1184	4891
39	1199	4796
40	1214	4709
41	1231	4631
42	1245	4546
43	1257	4458
44	1268	4367
45	1278	4280
46	1291	4203
47	1302	4124
48	1311	4042
49	1323	3970
50	1336	3905
51	1347	3836
52	1358	3769
53	1370	3706
54	1383	3647
55	1399	3599
56	1414	3549
57	1429	3499
58	1441	3444
59	1453	3390
60	1465	3340
61	1479	3292
62	1491	3243
63	1504	3196
64	1515	3147
65	1525	3097
66	1535	3048
67	1548	3005
68	1558	2958
69	1568	2913
70	1579	2870
71	1589	2825
72	1598	2781
73	1608	2739
74	1618	2697
75	1628	2656
76	1638	2617
77	1648	2577
78	1657	2538
79	1666	2500
80	1677	2464
81	1688	2429
82	1708	2407
83	1725	2383
84	1744	2360
85	1757	2329
86	1769	2298
87	1780	2265
88	1789	2232
89	1803	2204
90	1814	2173
91	1824	2141
92	1834	2110
93	1845	2080
94	1854	2050
95	1864	2020
96	1875	1991
97	1886	1963
98	1895	1934
99	1907	1907
100	1917	1879
101	1927	1851
102	1937	1824
103	1951	1801
104	2014	1822
105	2032	1802
106	2049	1781
107	2063	1757
108	2077	1734
109	2089	1709
110	2101	1684
111	2113	1660
112	2127	1638
113	2140	1614
114	2152	1590
115	2164	1567
116	2176	1543
117	2187	1520
118	2199	1497
119	2212	1474
120	2224	1452
121	2238	1431
122	2252	1409
123	2265	1388
124	2279	1367
125	2293	1346
126	2305	1325
127	2318	1304
128	2329	1282
129	2342	1261
130	2353	1239
131	2364	1218
132	2376	1197
133	2388	1176
134	2400	1155
135	2411	1134
136	2422	1114
137	2436	1094
138	2450	1075
139	2463	1055
140	2476	1036
141	2489	1016
142	2500	996
143	2512	977
144	2522	956
145	2537	938
146	2549	919
147	2562	900
148	2576	881
149	2588	862
150	2600	844
151	2613	825
152	2626	806
153	2638	787
154	2648	768
155	2660	750
156	2671	731
157	2683	713
158	2697	695
159	2708	677
160	2719	658
161	2730	640
162	2741	622
163	2752	604
164	2763	586
165	2774	568
166	2788	551
167	2801	533
168	2814	516
169	2827	499
170	2839	481
171	2851	464
172	2862	446
173	2874	429
174	2887	412
175	2904	396
176	2919	379
177	2932	362
178	2943	345
179	2955	328
180	2968	311
181	2981	294
182	2992	277
183	3002	261
184	3013	244
185	3023	227
186	3031	210
187	3042	194
188	3052	177
189	3068	161
190	3078	145
191	3089	128
192	3103	112
193	3117	96
194	3131	80
195	3143	64
196	3154	48
197	3169	32
198	3184	16
199	3200	0
